ID,IPHONECAKE_LINK,VERSION,TOTAL_DOWNLOAD
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
967812288,https://www.iphonecake.com/app_967812288_.html,1.04,23240
441179131,https://www.iphonecake.com/app_441179131_.html,4.1.1,23130
1114594263,https://www.iphonecake.com/app_1114594263_.html,1.1.3,4100
688743207,https://www.iphonecake.com/app_688743207_.html,3.1.1,10060
1013992870,https://www.iphonecake.com/app_1013992870_.html,1.1.6,1120
1095215341,https://www.iphonecake.com/app_1095215341_.html,1.093,960
1038376578,https://www.iphonecake.com/app_1038376578_.html,1.8,5400
476312888,https://www.iphonecake.com/app_476312888_.html,2.6.6,130944
1076414499,https://www.iphonecake.com/app_1076414499_.html,1.4,300
978238542,https://www.iphonecake.com/app_978238542_.html,1.0.9,10160
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
606191159,https://www.iphonecake.com/app_606191159_.html,3.62,1510
943697956,https://www.iphonecake.com/app_943697956_.html,1.9.18,820
447188370,https://www.iphonecake.com/app_447188370_.html,9.34.1.0,1222060
340787494,https://www.iphonecake.com/app_340787494_.html,9.0.5,21693
354897032,https://www.iphonecake.com/app_354897032_.html,2.3.4,7210
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
634903259,https://www.iphonecake.com/app_634903259_.html,2.323,840
1071527851,https://www.iphonecake.com/app_1071527851_.html,1.2.5,2620
1054633879,https://www.iphonecake.com/app_1054633879_.html,2.2,360
463198584,https://www.iphonecake.com/app_463198584_.html,5.636,2850
1022476522,https://www.iphonecake.com/app_1022476522_.html,1.1.2,300
479516143,https://www.iphonecake.com/app_479516143_.html,0.15.2,3347581
880971164,https://www.iphonecake.com/app_880971164_.html,2.6.0,270230
299604556,https://www.iphonecake.com/app_299604556_.html,7.18.1,4920
898670449,https://www.iphonecake.com/app_898670449_.html,3.3.3,7420
402656416,https://www.iphonecake.com/app_402656416_.html,2.8.3,137200
768592901,https://www.iphonecake.com/app_768592901_.html,4.0,89940
510461370,https://www.iphonecake.com/app_510461370_.html,6.5.3,133795
494390368,https://www.iphonecake.com/app_494390368_.html,V11.8,2720
882375209,https://www.iphonecake.com/app_882375209_.html,6.8,160
933483973,https://www.iphonecake.com/app_933483973_.html,1.3.3,4300
1073389796,https://www.iphonecake.com/app_1073389796_.html,1.3.0,5200
869890769,https://www.iphonecake.com/app_869890769_.html,11,840
871245017,https://www.iphonecake.com/app_871245017_.html,20,360
1093409628,https://www.iphonecake.com/app_1093409628_.html,1.3,100
320636131,https://www.iphonecake.com/app_320636131_.html,5.1,37838
510331404,https://www.iphonecake.com/app_510331404_.html,5.726,5520
487250856,https://www.iphonecake.com/app_487250856_.html,2.7.4,33371
924441242,https://www.iphonecake.com/app_924441242_.html,8.6,9480
541354732,https://www.iphonecake.com/app_541354732_.html,3.633,3630
921359146,https://www.iphonecake.com/app_921359146_.html,7.3,17100
805343896,https://www.iphonecake.com/app_805343896_.html,3.1.4,3100
1006995319,https://www.iphonecake.com/app_1006995319_.html,3.0.13,720
841569022,https://www.iphonecake.com/app_841569022_.html,1.35,400
